product_name,current_stock,shop_name,shop_id,brand,unique_item_id,sold_per_month,historical_sold,liked_count,variation_type,variation,current_price,min_price,max_price,lowest_price_guarantee,current_discount_percentage,rating_star,shopee_verified,official_shop,cc_installment,none_cc_installment,preferred_seller,shop_location,shop_rating,cod,extraction_date
Glenmorangie Tale of Forest 70cl,3,SingleMalt.PH,426244685,,18977827089,2,8,2,,[''],4799.0,4799.0,4799.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Bottega Gold Prosecco Spumante 75cl,5,SingleMalt.PH,426244685,,10752066598,0,14,11,,[''],2299.0,2299.0,2299.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,False,2023-11-27 09:27:50
Jack Daniel's Red Dog Saloon Whisky 75cl,1,SingleMalt.PH,426244685,,15381723464,0,4,2,,[''],1679.0,1679.0,1679.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,False,2023-11-27 09:27:50
Macallan 18 Year Old Sherry Cask 70cl,1,SingleMalt.PH,426244685,,22159318587,0,0,0,,[''],39399.0,39399.0,39399.0,False,6%,0,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
John Jameson Stout Edition 70cl - CaskMates Series,5,SingleMalt.PH,426244685,,12552051870,1,13,6,,[''],1199.0,1199.0,1199.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,False,2023-11-27 09:27:50
Monkey Shoulder Blended Malt Scotch Whisky 70cl,9,SingleMalt.PH,426244685,,8794814387,0,13,9,,[''],2149.0,2149.0,2149.0,False,0,4.833333333333333,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,False,2023-11-27 09:27:50
Clase Azul Tequila Plata 70cl,1,SingleMalt.PH,426244685,,19870449464,0,1,6,,[''],11799.0,11799.0,11799.0,False,0,0,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Bottega Rosé Spumante 75cl,4,SingleMalt.PH,426244685,,12015423709,0,0,2,,[''],1099.0,1099.0,1099.0,False,0,0,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,False,2023-11-27 09:27:50
Martini Prosecco Spumante Sparkling Wine 70cl,11,SingleMalt.PH,426244685,,11359850946,0,1,3,,[''],839.0,839.0,839.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,False,2023-11-27 09:27:50
Johnnie Walker Blue Label Year of the Rabbit Limited Edition Designed by Angel Chen 40% 1L,1,SingleMalt.PH,426244685,,23524228730,0,0,5,,[''],18999.0,18999.0,18999.0,False,0,0,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
